Document_Number,Content,date
43,"Demonetisation: Delhi Congress to gherao RBI office on January�18 The Delhi Pradesh Congress Committee (DPCC) today decided to gherao the Reserve Bank of India (RBI) office here on Wednesday in protest against its failure to do its constitutional duty at the time of demonetisation. The gherao of the RBI office on Parliament Street will be the first of the protest action by DPCC in the second phase of the Jan Vedna campaign. DPCC, under the leadership of its president Ajay Maken, will gherao the Reserve Bank of India on Parliament Street on January 18 as the RBI had failed to do its constitutional duty at the time of demonetisation, due to which people had to suffer a lot, and are still suffering, the party said in a statement.All India Congress Committees coordinator Raghubir Kadiyan said the second phase of the Jan Vedna campaign will be held across the country till February 20.",14/1/17
44,"Distant kin held for looting woman RAJKOT: Two persons were arrested on Wednesday in connection with the assault on a 58-year-old woman who was looted of valuables worth Rs 5.5 lakh on Kothariya road on Tuesday noon. The accused were identified as Lukyrajsinh Jadeja (21), who is a distant relative of victim Bannaben Jadeja, a resident of Kothariya Colony Quarters on Kothariya Road. His accomplice in the crime was Sanjay Gadhvi who was arrested from Bhuj. Police said they have recovered valuables, including cash and jewellery, worth Rs 3.16 lakh from Lukyrajsinh. On Tuesday, around 7am, when Bannaben opened the door of her house two persons forcefully entered the front room and covered her face with a cloth. One of them also tried to strangle her.The robbers thrashed her before looting Rs 50,000 in cash and 20 tola (approximately 200gm) gold jewellery from the house. The valuables collectively added up to Rs 5.5 lakh.tnn",19/10/17
45,"Officials who abet sand mafia must be identified and punished He is 91 years old but the fire in him to stop river beds and banks being ravaged burns strong. Veteran CPI leader R Nallakannu is one of the early anti-sand mining crusaders in Tamil Nadu and thanks to his efforts, the Madras high court stopped sand mining along River Tamirabarani. Nallakannu spoke to B Sivakumar on the high court order closing down river sand quarries within six months.Q: What do you think of the HC order?A: I welcome it. But, mines should be shut down immediately as six months is a long period for stakeholders to plunder the rivers further. The sand mafia has violated all rules for the past 15 years. Use of heavy machinery has created craters in rivers because of which water released from Mettur does not reach the tail-end areas.Q: How long have you been campaigning against illegal sand mining?A: I started my campaign in 2002. As per rules only one metre of sand can be mined but in some areas mining has gone to a depth of even 500 meters.Q: Your protests have been against all governments or any particular one?A: It has been against all party governments as well as officials. Many officials have turned a blind eye to sand miners violating rules. There must be a committee to monitor and control mining of sand from river beds.Q: Won’t complete ban on sand mining affect construction work and those dependant on it?A: Yes construction activity will be affected due to the court order. Use of manufactured sand (M-Sand) is the only solution. Sand mined in Tamil Nadu river banks are being taken to neighbouring states. Illegal mining of sand has caused loss to the state exchequer to the extent of ₹95,000 crore.Q: What is the way out to curtail the sand mafia?A: There must be strict adherence to rules on sand mining. Heavy machinery must not be allowed to mine sand and officials who are abetting the sand mafia must be identified and action taken against them. These measures can streamline the sand business and will be available to the construction industry at genuine rates.",1/12/2017
46,"BJP wins Gujarat but loses rural voters NEW DELHI: The final results in the Gujarat assembly election are yet to come out, but the trends so far have thrown up some interesting facts about how Gujaratis cast their vote.Gujarat, Himachal poll results: Live updatesAccording to data crunched by timesofindia.com, the BJP fared well in Urban and R-Urban areas but had a poor showing in rural regions, where the Congress is resurgent.Breaking down the numbers, the saffron party either won or is currently leading in 55 seats out of 73 seats in urban clusters, whereas the Congress was ahead on only 18 seats. Notably, the ruling BJP wrested 5 seats away from the Congress - Jamnagar north, Rajkot south and Rajkot east, Mehmedabad, Himatnagar and Sanand, where PM Modi had held a mega campaign rally earlier this month. Know how different communities voted in Gujarat since 1982 Similarly, the BJP surpassed the Congress in R-Urban clusters. Radadiya Jayeshbhai, who defected to the BJP ahead of the two-phase polls, beat the candidate fielded by Congress to retain his seat in Jetpur constituency.In sharp contrast to the saffron wave in urban and R-Urban sectors, inhabitants in rural Gujarat voted overwhelmingly in the Congress party's favour. Of a total 109 seats in rural constituencies, the Congress won or is leading in 62 while the BJP and others trail at 43 and 4 seats respectively.Making inroads in the rural community, the Congress added 23 seats to its kitty by unseating BJP MLAs. 3 independent candidates also registered wins against incumbent BJP lawmakers.Further analysis shows that the Patidar vote, ardently courted by both the BJP and Congress in the run-up to polls, was split. Patidars living in urban areas voted for the BJP, while those resideing in the rural regions cast their ballot for the Congress.Complete coverage of Gujarat, Himachal Pradesh Assembly Election results 2017The Congress also improved its performance in north Gujarat and Saurashtra Kutch regions, leading the BJP 17-14 and 30-23 respectively. On the other hand, BJP remained a big presence in central and south Gujarat.According to Election Commission results and trends for the 182 seats in Gujarat, the BJP won 17 and was ahead in 84. It needs 93 to form a majority government. The Congress won 15 and was leading in 61.The BJP called the results a vote for development pushed by Prime Minister Narendera Modi, who was the tireless star campaigner in the state, holding three to four massive public rallies every day in the last leg of campaigning.",18/12/17
47,"Free forms for swimming pools being sold for Rs 50 Surat: Though the Surat Municipal Corporation (SMC) boasts about its online services and the smart city initiatives, residents in the Diamond City are sort of being looted by civic body staff. As the rush for the summer batch at the corporation run swimming pools have started, the staff members deployed at the pools are leaving no stone unturned to frisk the pockets of the gullible Surtis, mostly children above the age of 10 years. As per information, more than 11,000 forms have been distributed, most of them issued from the counters at the pools for Rs 50 each, without giving any receipts. If a simple calculation is made then the civic staff would be earning Rs 5.50 lakh by just selling the forms.However, admission forms for the swimming pools across the city are available on the official website of SMC\suratmunicipal.gov.in\for free, the staff members have literally opened shops by selling the forms for Rs 50 per person\at times they even take Rs 100\without issuing official receipts. \The entry forms are available online for free download. There is no need to give money at the swimming pool counters. I will investigate the issue and take action against those involved in selling the forms, said additional city engineer, AG Khatiwala. Teenagers and youngsters have been asked to pay Rs 50 for swimming pool forms in the past 11 days.Every year, the corporation earns over Rs 60 lakh to Rs 65 lakh income during the summer season alone.The civic body owns and operates around 14 swimming pools in seven municipal zones in the city. These swimming pools are located in the areas like Adajan, Katargam, Varachha, Rustompura, Singanpore, Chowpaty, Udhana, Kapodara, Nanpura, Dumbhal, Vanita Vishram etc.Sources said that distribution of entry forms had started early this time and that the admissions will be given between April 1 and April 5. Tens of hundreds of teenagers and youngsters thronged the swimming pools across the city to get their names registered.Raju Desai, a resident of Honey Park road in Adajan said, \I went to the Adajan pool along with my 11-year-old son for getting the entry form. They (staff) charged me Rs 50 per form. When I enquired why they charge Rs 50, when the form is available for free online, they told me it is the rule. This is an open loot by the civic staff posted at the swimming pools.",30/3/17
48,"Robbers thrash, loot family at gunpoint Rajkot: Five unidentified men robbed a family of four of gold jewellery and cash worth Rs 3.68 lakh at their residence in Bombay Housing Society on Sadhu Vasvani Road in Rajkot on Friday morning. According to a complaint lodged by Paresh Mali (47), a teacher at government primary school Narankagam in Padadhari taluka of Rajkot district, five unidentified men, who had worn coats and track pants, knocked at the door of his house early on Friday. “When Paresh’s father Devji Mali opened the door, the accused barged into the house, brandishing knives, bats and a pistol. While three had covered their faces with handkerchiefs, two had put on monkey caps. They first beat up Devji with bats. Then they went into the room of Devji’s wife Manjula, put a gun on her head and robbed her of her gold jewellery from the cupboard,” an official from A division police station of Rajkot police said.Three of them then went to the adjoining room where Paresh and his wife Hema were asleep. They woke them up and robbed gold jewellery from their cupboard. The total looted gold jewellery is worth Rs 3.60 lakh. The robbers also looted Rs 8,000 cash. The accused were speaking in Hindi. They locked the victims inside their house and fled in a car, the official added. “The car used in the crime had been stolen from the area falling under A division police station’s jurisdiction,” ACP Harshad Mehta said",23/12/17
49,"Diamantaires ready to trade on ICEX platform Surat: Diamantaires in the world largest diamond cutting and polishing centre in Surat are all set to trade their precious diamonds in a diamond exchange for the first time in the world. The mock tests for diamond delivery process being conducted by Indian Commodity Exchange Limited (ICEX) have been running successfully since February 27, with an objective to provide insight to traders and manufacturers on the processes of the Exchange Developed Electronic Debit Credit Module (EDCM) for diamond deposit, grading, sealing, storing and effective delivery. \We are launching diamond contracts starting April. Polished diamonds will be traded for the first time in the world in a commodity exchange and Surat will be the delivery centre, ICEX managing director Sanjit Prasad said. After the Government of India notified diamonds as a commodity for trading, Securities and Exchange Board of India gave ICEX permission to launch diamond contracts. The ICEX team has been organizing mock tests for diamond deliveries and trading in the diamond industry to educate traders, merchants and general public about the benefits of diamond contracts. ICEX will be initially launching three contracts for the stones sized 30 cent, 50 cents and 1 carat. It has also tied up with International Institute of Diamond Grading and Research (IIDGR), a 100 per cent subsidiary of global major De Beers based in Surat, for grading and packing of the diamonds.Industry experts believe that the future trading will establish diamonds as a commodity, for the first time in the world. This will help the industry to tide over pricing issues of diamonds and allow diamantaires and general investors to earn profits. \An average of 2,000 people are participating in each of the mock tests being conducted by ICEX at Surat diamond market. Big manufacturers are keen to learn how things will be working once the diamond futures are launched in April. We will be holding a seminar on futures trading in diamonds on March 4 in Surat where diamond and jewellery industry stakeholders will get a deep insight into diamond futures, ICEX Ravi Bhattar said. Sources said ICEX will be signing a memorandum of understanding (MoU) with South Gujarat Share Brokers\ Association (SGSBA) for setting up a futures market for trading.",3/3/2017
50,"Caged parrot CBI comes under attack from Mamata�Banerjee Supreme Court Justice R.M. Lodha described Indias premier investigative agency Central Bureau of Investigation in a courtroom in 2013 as a caged parrot and its masters voice. The CBI has become a caged parrot. We cant have CBI a caged parrot speaking in masters voice. It is a sordid saga where there are many masters and one parrot, the court had observed.Over the years, CBI has come under the scanner for repeatedly being used by either the Centre or state governments to initiate, influence, bend or close cases and investigations. Here is a list of major incidents in recent years when CBIs independent role came into question:January 3 2017: The latest incident that raised questions on the CBIs autonomous functioning is the arrest of Trinamool Congress MP Sudip Bandhopadhyay in connection with the Rose Valley chit fund scam. His arrest created a ruckus in West Bengal after TMC chief and West Bengal Chief Minster Mamata Banerjee took to the streets with her party workers and legislators in protest. The allegations, like often, were targeted at the Central government, specifically Prime Minister Narendra Modi, accusing it of using the government agency against TMC for protesting against demonetisation.December 11, 2016: Reacting to media reports on the VVIP chopper scam, Congress spokesperson Randeep Singh Surjewala speaking at a press conference accused the BJP government of using the CBI as its puppet. A captive CBI wouldnt succeed in covering up Modi jis disastrous demonetisation mess. Time for the Modi government to answer questions in Parliament.December 15, 2015: CBI officials entered Delhi Secretariat and sealed all three floors. All offices were off limit including that of Delhi Chief Minister Arvind Kejriwal. CBI then raided the office and residence of Principal Secretary Rajendra Kumar. The raid was linked to an investigation on graft charges levelled on Kumar by an AAP member Ashish Joshi who has recently been sacked from the Delhi Dialogue Commission. The case was directly sent to CBI without going through Delhi Police. Kejriwal lashed out at PM Modi alleging that he was behind the raid and that he wanted to scare Kejriwal by using CBI.October, 2014: Former director of CBI Joginder Singh called the agency a puppet in the hands of the government. According to a report in the Hindustan Times, Singh said: The governments at the Centre actually guide the agency on how to work. The cases are opened and closed with change of guard at the Centre adding that the CBI receives written orders from influential politicians and ministers on what to do and what not to do. Not only the sanctioning of cases is planned, the interference and abnormal pressure disrupts the investigation against the accused as well.April 14, 2014: INLD chief and former Haryana Chief Minister Om Prakash Chautala accused the CBI of working at the behest of Congress and the agency building a case against him of disproportionate assets which was miscalculated.November 1, 2011: Former Telecom Secretary Siddhartha Behura, who was one of the six main accused in the 2G scam case, lashed out at the CBI for blocking his bail plea but not opposing the bail plea of five other accused that included then DMK Rajya Sabha MP Kanimozhi. To block Behuras bail plea, CBI had argued an influential person and there is every apprehension of his tampering with evidence and winning over/threatening of vital witnesses.The government had even formed a empowered group of ministers in 2013 to draft a law that would protect the autonomy of the agency. The law, however, never saw the light of the day.",4/1/2017
51,"Haryana Congress to gherao RBI office in Chandigarh on January�18 The Haryana and Chandigarh units of the Congress will gherao the regional office of Reserve Bank of India on January 18 in protest against RBIs failure to do its constitutional duty at the time of demonetisation.The RBI has failed to do its constitutional duty at the time of demonetisation, due to which people had to suffer a lot. The misery of the people has not ended, but they are still suffering, Haryana Congress President Ashok Tanwar said addressing a press conference here.Tanwar said the HPCC had summoned a meeting of party MLAs and MPs from the state here today in view of the decision to gherao the RBI office, which will be part of Congress national programme to gherao RBI offices at other places in the country as well on January 18. The meeting had been summoned by senior Congress leader and Rajya Sabha MP from Himachal Pradesh Viplove Thakur and was attended among others by former Union Minister Pawan Kumar Bansal, former Haryana Minister Ajay Singh Yadav and two MLAs of the Haryana Congress.However, former Chief Minister Bhupinder Singh Hooda and most of the legislators were not present at the meeting, but Viplove Thakur said, I had summoned the meeting at a short notice.The MLAs and other leaders who could not attend informed me over phone that they had pre-scheduled engagements.However, they have assured that all of them will be present here on January 18.I talked to Hooda also, there is no groupism in the party. It is a national programme of the Congress party (on Jan 18) and everyone will participate in the event, she said to another related question.Bansal, who is also former MP from Chandigarh, said, We have decided to gherao the RBI because it has failed to do its constitutional duty and has happily surrendered its autonomy.About the demonetisation step, Bansal said, For the first time such a thing has happened in the country, which is unconstitutional, against the law and against the rules and regulations of the RBI. This decision of the Modi government has been thrust upon the people.According to a conservative estimate, the demonetisation step will hit countrys GDP by atleast 1 per cent, which is nearly Rs 1.5 lakh crore, Bansal said, adding also, cashless society is not practical in a big and diverse country like India.Slamming the demonetisation decision, Bansal said, When people deposited the demonetised currency in the banks, the banks imposed cash handling charges.When asked why Congress had done poorly in the recently held civic polls in Chandigarh, Bansal did not agree that people of Chandigarh had backed demonetisation decision of the government, saying other factors were at work here.",15/1/17
52,"Demonetisation: Ruling Congress stages protest in�Puducherry Several Congress workers in Puducherry on Saturday staged a demonstration outside central government offices here, to protest the hasty and faulty decision of the Centre to demonetise high value currency notes. Addressing agitators outside a nationalised bank in the heart of the town, Puducherry PWD Minister A Namassivayam claimed that the demonetisation scheme had caused inexplicable havoc to all sections of people and more particularly the workers and the poorer sections.The demonstration by party volunteers was in keeping with the decision taken recently at the executive committee meeting of the PCC, he said.Industries Minister M O H F Shahjahan led the agitation in front of the Pondicherry university in neighbouring Kalapet.Condemning the move, he said, The schemewas implemented without any forethought and alternative arrangements by the Prime Minister.Functionaries of the PCC and office bearers of the youth wing held demonstrations at different points to register their protest against the Centres anti-poor policies including demonetisation of the currencies.",7/1/2017
53,"Kerala policemen to be screened for cancer and lifestyle diseases KOCHI: To help its force have better health, the Kerala police have tied up with city based Aster Medcity and launched ‘Rakshaka Raksha’. Under this, a series of series of free cancer and lifestyle diseases screening camps for the police will be held.The first screening camp for 300 police personnel was conducted on Monday by a medical team from Aster Medcity with cancer specialists. In the first phase, the camps will be conducted in Ernakulam and Trichur districts. The camps will be held till 31 March, 2017. ""The policemen work long, irregular hours and have high levels of stress. They are at risk for various lifestyle related diseases. Due to stress and other factors, they also face an increased risk of cancer. It is essential for the police personnel to have regular check-ups so that any health problem can be diagnosed early for successful treatment,"" said Dr Harish Pillai, CEO, Aster Medcity and Cluster Head (Kerala) of Aster DM Healthcare. A recent report published by the Bureau of Police Research and Development (BRPD) and Administrative Staff College of India (ASCI) indicates that a majority of police personnel work for more than eight hours a day and over 70% do not get a weekly off even once a month. In addition, police personnel are often called into work on holidays for emergencies.""Policemen in pursuit of their responsibility, tend to ignore their health. This is the reason we are working with Aster Medcity and the Kerala Police to organise these camps for the police personnel and their families,"" said Swasthi Foundation chairman Jacob Punnoose, who was instrumental in the tie-up. Swasthi Foundation had been conducting free cancer screening camps from November 2016 for the policemen.",16/1/17
54,"TMC to take out protest rally in�Bhubaneswar The Trinamool Congress (TMC) has decided to take its protests against the arrests of two of its MPs in connection with Rose Valley chit fund scam to Bhubaneswar, where they are currently lodged in CBI custody. A massive protest rally has been planned in the capital of Odisha on January 10. Tapas Paul was arrested on December 30, while Sudip Bandyopadhyay had been arrested on January 3, after which a furious TMC had alleged that the arrests betray the Modi governments politics of vendetta. The protest will be led by several senior TMC leaders including party general secretary Partha Chatterjee, all-India general secretary Subrata Bakshi, Cabinet Minister Soumen Mahapatra and also former ministers Manish Gupta and Chandrima Bhattacharya. They arrived in Odisha on Sunday to lead the protests there.While leaving Kolkata, Chatterjee said, Sudip and Tapas were arrested with the political intention of terrorising the TMC. But we have the ability to withstand whatever the Centre may have in mind. Party leaders including Sudips wife also met the MP.He is keeping well. His morale is high, Chatterjee said after meeting the arrested leader.The leaders will be overseeing preparations for the rally, which they said would be held at the lower PMG Square, an important junction of Bhubaneswar. Chief Minister Mamata Banerjee, however, is unlikely to address the event.The TMC has been protesting outside the CBI office in Bhubaneswar right the day Sudip was produced in court. Party leader from East Midnapore district, Akhil Giri, had gone to Bhubaneswar on the night of January 3, when Sudip had arrived there, hours after his arrest. TMC sources said Giri and Mahapatra have been asked to ensure that party workers from the districts of East and West Midnapore  both bordering Odisha  make it to the city for the rally on Tuesday.Stung by Sudips arrest, a furious Mamata had accused Prime Minister Narendra Modi of using central agencies like the CBI, Enforcement Directorate and the income tax department against his political rivals who were raising their voice against demonetisation.",9/1/2017
55,"Pune: SPPU protests over MLA�remark Protesting against the alleged defamation by city MLA Medha Kulkarni, a few university teachers and non-teaching staff staged a protest at the Savitribai Phule Pune University (SPPU) on Thursday. Two days ago, Kulkarni had addressed a press conference questioning the A+ grade given to the SPPU by the National Assessment and Accreditation Council (NAAC) and alleged discrepancy in the varsitys self study report (SSR) submitted for purpose of rating.Taking offence to her allegations, a few varsity teaching and non-teaching staffers and along with Shiv Sena local leader Shyam Deshpande and his party members staged the protest demanding that Kulkarni who is an ex-student of the varsity return her degree.However, hitting back at the protestors, Kulkarni demanded to know why she should return her degree. Are we not allowed to even criticise the wrongdoing of few people in the varsity? I am proud of the university but in recent past, some people are trying to bring its name down, she said.",20/1/17
56,"Padmavati controversy: Alia Bhatt blames violent threats for Nahargarh�death Sanjay Leela Bhansalis magnum opus Padmavati has been facing a lot of trouble since the time of its inception and, on Friday the protests against Bhansalis film took a horrifying turn.The body of a man was found hanging in Rajasthans Nahargarh Fort, 20 km near Jaipur. Bollywood actress Alia Bhatt took to Twitter and expressed her disappointment over the whole incident.This is what happens when violent threats are allowed to made openly without punishment! What is happening? Shocked! noted Bhatt. Alongside the body, slogans were written against the movie scrawled on stones nearby.Many were left shocked by this terrifying incident and even B-Town celebrities felt quite numb by hearing about this accident. A lot of celebrities from Bollywood and other film industries have slammed the string of protests that the team of Padmavati has been facing.The Padmavati row is getting murkier day by day. From the raging protest of some Rajput sections to political parties, the Sanjay Leela Bhansali directorial is amid controversy owing to its content. Other Bollywood stars including Shraddha Kapoor, Rani Mukherjee, Shefali Shah, Nana Patekar among others have come forward in support of the film. The movie which was slated to release on December 1, 2017 did not get a green light from the Censor Board and hence, for now, has no confirmed release date.",25/11/17
57,"Protests against Padmavati film intensifies in�Rajasthan Protests against Sanjay Leela Bhansalis upcoming movie Padmavati have intensified in Rajasthan with several organisations stating their objection to the movie over Rani Padminis portrayal, while distributors have also decided to wash their hands off it. We dont want to get involved in this controversy; our company has decided to not get involved in this film until this controversy is sorted out, said Raj Bansal, a leading film distributor from Rajasthan. None of my colleagues  there are 3  4 (top) distributors in Rajasthan  and none of them is ready for it. There may still be time to settle the controversy but it keeps on increasing now, to Gujarat, Maharashtra he said.BJP MLA Diya Kumari, of the erstwhile Royal family of Jaipur, issued a statement Tuesday saying that no film should hurt the sentiments of a community by twisting historical facts. The director of the film Padmavati, Sanjay Leela Bhansali should not wrongly depict the story of Queen Padmavati of Chittor. He should get the facts in the film verified by a forum of historians and then release the film.She said, Rajputs will not allow any distortion of the valiant history of Rajasthan and sacrifice of its people in fighting barbarians. If the movie does not display authentic history or takes any liberties, it will not be allowed to be released.Top Rajput body, the Shri Rajput Sabha, also wrote a letter to Prime Minister Narendra Modi Tuesday and gave an ultimatum of November 12 for a countrywide ban of Padmavati and an FIR against habitual offender Sanjay Leela Bhansali. It said that this type of distortion of history in films like Padmavati will ruin the history and damage the highest values for which our ancestors lived and died.If people see Padmini dancing like stage actor, who will cherish the historical saga of Jauhar, rarest of rare incident of history.there is the glorification of the most barabaric, most devil, most vulgar attacker Alauddin Khilji. As you know, about 16,000 great Rajputanis of Rajasthan dedicated their lives and became martyrs for maintenance of nations prestige, religion, culture and Bharat Mata.Why we allow such glorification of our all-time worst enemy? They have also asked the PM to warn Smriti Irani as she has formally supported for release of film, so that she may be a bit careful in such important matters and withdraw her remarks.On Sunday, Congress spokesperson and Jaipur Congress president Pratap Singh Khachariyawas had said, If the movie distorts history, then it is the responsibility of the Central and state government to ban it. The government is mistaken if it believes that it can screen the movie with distorted history, he said, warning of a law and order situation if the government proceeds with the movie in its current form.A day before him, Union minister of Drinking Water and Sanitation, Uma Bharti, had written an open letter stating, If you are making a historical film, you cannot violate the facts. She said that even to this day, we have respect for Padmavati and hatred for Khilji. She had said that people should find a way to address the apprehensions being raised on the film.Several other organisations, such as Rajput Karni Sena, Shri Rajput Karni Sena, Antarrashtriya Brahman Mahasangh, and others have protested over the movie. The Bajrang Dal also said that it would protest the release of the movie in Rajasthan on November 10. Johar Smriti Sansthan had also called a bandh in Chittorgarh last week against the movie, which is scheduled to release on December 1.",8/11/2017
58,"Congress vice-president Rahul Gandhi to address rallies in Aligarh, Shamli, Mathura�today Congress vice-president Rahul Gandhi will address election rallies in Uttar Pradeshs Aligarh, Shamli and Mathura on Monday. With the first phase of Uttar Pradesh Assembly polls barely a week away from commencing, Congress vice-president Rahul Gandhi Sunday retorted to Prime Minister Narendra Modis SCAM barb, stating that a person who is involved in scams sees scam everywhere. Modi ji has come up with a new scheme-SCAM. The person who is in involved in scams, sees scams everywhere, Gandhi said while holding a joint rally with Chief Minister Akhilesh Yadav in Uttar Pradeshs Kanpur. Replying to Prime Minister Modis SCAM remark, Gandhi spelled out the acronym of SCAM, stating that the Samajwadi Party-Congress alliance abides by it.I will reply to Prime Minister Modis SCAM remark. Its Seva (Service), Bahaduri (Courage), Shamta (Ability) and Modesty, he said. Further taking a jibe at the Prime Minister, the Congress vice-president said people of Uttar Pradesh will make the former realise how the demonetisation had affected them.After the Uttar Pradesh polls, Prime Minister Modi will realise what the people think of demonetisation. People of UP will not buy your lies, he said.The Prime Minister says that he is against corruption. But after demonetisation, there was not a rich man in the queue; no suit boot person was seen. The farmers dont take cheques, they take cash. He has created problems for the poor, he added. He said Prime Minister Modi stopped talking after the Bharatiya Janata Party (BJP) lost in Bihar and the same will follow in Uttar Pradesh.After his defeat in Bihar, Prime Minister Modi stopped speaking about Bihar; after his Uttar Pradesh defeat he will never speak about Uttar Pradesh again, Rahul said. The people of Uttar Pradesh will be voting for a new government in seven-phase elections between February 11 and March 8. The Congress will be contesting in 105 seats and the Samajwadi Party will be contesting in 298 seats out of the 403 assembly seats.",6/2/2017
59,"Cop stoned to death on highway INDORE: A head constable posted at Bori police station was stoned to death by highway robbers near Dodakund village in Alirajpur on Wednesday evening.Arvind Sen, who was recently transferred to Bori, was on his way to meet his family in Jobat, about 30km away. Details are hazy but around 7pm, he seems to have been accosted by a gang of seven to eight looters. They pelted stones at him, causing him to fall off his bike.“Sen was found lying unconscious, in a pool of blood. He was taken to hospital but was declared brought dead,” ASP Seema Alawa told TOI. Rocks lay strewn around him.She said that some passersby informed police that they, too, were attacked on the same spot by looters who hurled stones. When a patrol went to investigate, they found Sen. Its possible that the gang was trying to loot passersby and attacked the constable, killing him on the spot. We are investigating all possible angles,� Alawa said.",7/12/2017
60,"Tamil lawyers, students protest against Jallikattu ban in�Delhi The Jallikattu protests Thursday reached Delhi with scores of people including students from Tamil Nadu demonstrating against the ban on the bull-taming sport. The protesters, led by Tamil lawyers in Supreme Court, took out a march from Mandi House to Jantar Mantar raising slogans against People for the Ethical Treatment of Animals (PETA) and the ban on Jallikattu. Protesters, numbering more than 200, claimed that they dont have any affiliation to any political party or organisation.We dont have any political affiliation. We have gathered here for the protection of Tamil culture and its rich heritage, advocate Mayilsamy, a Supreme Court lawyer, who was among the protesters told PTI. The intention of PETA is to destroy the Tamil culture. They want to eradicate the local breed of cattle and introduce foreign breeds into Indian markets, lawyer Anandaselvam said.Students from various educational institutions in Delhi had also joined the on-going protest against the ban on the bull-taming sport.Jallikattu is our traditional right. We have 50 MPs in Parliament. They were not able to do anything to protect our Jallikattu. We need amendment in the Prevention of Cruelty to Animals Act, Tirupathy, another protester said, adding that they thank the apex court and the PETA for making a local culture world famous.Meanwhile, Tamil Nadu CM O Paneerselvam today met Prime Minister Narendra Modi and sought ordinance for the conduct of Jallikattu. Even though Modi expressed Centres inability to promulgate an ordinance on the issue, Panneerselvam said his government will soon take steps for holding banned Jallikattu event with the backing of the Centre. In Chennai, massive protests in support of Jallikattu continued at the Marina beach and other parts of Tamil Nadu, with hundreds more joining the agitation. Unfazed by the Chief Ministers call to withdraw protests, thousands of volunteers remain steadfast on their demand for holding the bull-taming sport in the state.",19/1/17
61,"SAD, Congress in alliance looted Punjab, says Arvind Kejriwal MAJITHA: AAP national convener and Delhi Chief Minister Arvind Kejriwal on Sunday alleged that Akali Dal and Congress ""in alliance"" have ""looted"" Punjab for decades.Both the parties ""in alliance have looted"" Punjab for decades and their leaders ""have common business interests"". With AAP emerging on the political map of Punjab, they fear that ""their illegal trades and misdeeds"" will be exposed, he alleged while addressing a rally here.""This fact has stands approved as neither Congress vice president Rahul Gandhi nor the party's state unit chief Amarinder Singh mentioned the involvement of revenue minister Bikram Singh Majithia in drug trade during their recent rally here,"" Kejriwal claimed.Majithia is seeking re-election for the third time from Majitha constituency. Congress has fielded Sukhjinder Raj Singh against him while AAP's candidate is Himmat Singh Shergill from this high-profile seat.Majithia and his friends have implicated innocent people, who raised their voices against the oppression, in false cases and Aam Aadmi Party will ensure that these cases are closed and the real culprits behind ruining Punjab are brought to the book,"" he claimed.Speaking about AAP's zero tolerance towards drugs, Kejriwal claimed, ""Everybody knows Majithia and his goons have ruined the youth of the state by patronising drug trade.Majithia and his aides involved in drug trade will be in jail after AAP forms government in Punjab."" The Delhi Chief Minister appealed to the people not to let their votes get divided among corrupt parties and help AAP in forming the government and usher Punjab into a new era of prosperity. About on the development works carried out by his party in Delhi, Kejriwal said, ""During a short span of time, despite several hurdles laid by the Modi government, AAP has brought a sea change by opening state-of-the-art mohalla clinics and schools of international quality for the public.""He exhorted people to vote for Shergill, the AAP candidate from Majitha Assembly constituency and Upkar Singh Sandhu the party nominee for the bypoll in Amritsar Lok Sabha seat.Kejriwal claimed that AAP is the only party that has the vision to restore the glory of Punjab by reviving its industry, agriculture, education and health sectors that have suffered a huge setback due to the ""anti-people"" policies of SAD-BJP and Congress.",29/1/17
62,"SAD, Congress in alliance looted Punjab: Arvind�Kejriwal AAP national convener and Delhi Chief Minister Arvind Kejriwal on Sunday alleged that Akali Dal and Congress in alliance have looted Punjab for decades. Both the parties in alliance have looted Punjab for decades and their leaders have common business interests. With AAP emerging on the political map of Punjab, they fear that their illegal trades and misdeeds will be exposed, he alleged while addressing a rally here. This fact has stands approved as neither Congress vice president Rahul Gandhi nor the partys state unit chief Amarinder Singh mentioned the involvement of revenue minister Bikram Singh Majithia in drug trade during their recent rally at Majitha, Kejriwal claimed. Majithia is seeking re-election for the third time from Majitha constituency. Congress has fielded Sukhjinder Raj Singh against him while AAPs candidate is Himmat Singh Shergill from this high-profile seat.Majithia and his friends have implicated innocent people, who raised their voices against the oppression, in false cases and Aam Aadmi Party will ensure that these cases are closed and the real culprits behind ruining Punjab are brought to the book, he claimed.Speaking about AAPs zero tolerance towards drugs, Kejriwal claimed, Everybody knows Majithia and his goons have ruined the youth of the state by patronising drug trade. Majithia and his aides involved in drug trade will be in jail after AAP forms government in Punjab.The Delhi Chief Minister appealed to the people not to let their votes get divided among corrupt parties and help AAP in forming the government and usher Punjab into a new era of prosperity.About on the development works carried out by his party in Delhi, Kejriwal said, During a short span of time, despite several hurdles laid by the Modi government, AAP has brought a sea change by opening state-of-the-art mohalla clinics and schools of international quality for the public.He exhorted people to vote for Shergill, the AAP candidate from Majitha Assembly constituency and Upkar Singh Sandhu the party nominee for the bypoll in Amritsar Lok Sabha seat.Kejriwal claimed that AAP is the only party that has the vision to restore the glory of Punjab by reviving its industry, agriculture, education and health sectors that have suffered a huge setback due to the anti-people policies of SAD-BJP and Congress.",29/1/17
