ID,Title,Content,Intersection,Union
535,Rumours about Andhra coupleÃ¢s visit trigger protests,"A tense situation prevailed at Erumeli, the key base station of Sabatrimala temple, on Tuesday afternoon when members of the Sangh Parivar organisations staged protests against a woman from Andhra Pradesh on the suspicion of her proceeding to the holy hillock from there. The episode began to unfold around 1 p.m. when the woman, identified as Neelima Vijayalakshmin (40), had reached Erumeli along with her husband Kiran Kumar (45) on board a Pampa bound KSRTC bus. As soon as the bus entered the Erumeli KSRTC bus station, rumours spread about a woman under the age of 50 reaching the spot with an intention to visit Sabarimala. The couple had reached Kochi by a flight in the morning and boarded a Sabarimala special bus to reach Erumeli, which might have triggered the suspicion, said a senior police officer. As soon as they got off at Erumeli, members of the Sangh Parivar outfits converged at the spot and launched a protest. Alongside, women devotees who thronged the temples at Erumeli, also resorted to a flash protest.",Andhra Pradesh,"Erumeli, Andhra, Andhra Pradesh, Sabatrimala, Pampa, Kochi"
536,"Pampa remains a changed river, post the flood","Post the floods, Pampa is a changed river. It now flows forked from the Pampa Triveni, where it confluences with the Kakki and the Kullar rivers. One branch of it flows by the service road and the other by the mainland on the western side. The deluge has changed many other landmarks too. The portion of the riverbank that once used to house the Ramamurthy Mandapam is now an island with just the basement of the massive structure remaining.",,"Pampa, Pampa Triveni, Kakki, Kullar, Ramamurthy Mandapam"
537,Gang robs family,"Unidentified persons entered the house of a cab driver in Nallathur near Kallakuruchi on Monday night and decamped with five sovereigns of gold jewellery and 70,000 cash. Police said Sakthivel, 52, was living with his wife Suguna, mother Kannagi, sister Dhanalakshmi and relative Ezhumalai. On Monday, when Sakthivel had gone out, a seven member gang entered the secluded house at Nallathur and threatened the three women at knifepoint to part with their jewellery. When Ezhumalai tried to resist, one of the robbers hit him on his head with a wooden log. They also gagged the three women and Ezhumalai in a room and fled the scene.","Kallakuruchi, Nallathur","Kallakuruchi, Nallathur"
538,"Toxic Chinese cinnamon flooding South Indian market, finds study","The cinnamon you just bought from the local grocery to spice up your dish may not be what the doctor ordered. Chances are the cinnamon bark you picked up from the shelf is a toxic version of the spice imported from China and passed off as the original. A study conducted by scientists at the Jawaharlal Nehru Tropical Botanic Garden and Research Institute (JNTBGRI) here has revealed that South Indian market is flooded with Chinese cinnamon (Cinnamomum cassia) containing high levels of coumarin, a hepatotoxic compound, raising food safety concerns. While the authentic Cinnamomum verum cultivated in South India is a safe food additive with a market price about 1,000 a kg, the Chinese version is available for 180 to 200 per kg, making it an affordable option, albeit one with a health hazard for consumers. The study conducted by K.B.",South India,"South India, Kerala"
539,Prevalence of tetanus in State is still a major concern,"Last month, Salman Pasha, a teenager from Ramanagaram, accidentally stepped on a nail while carrying a bucket of water outside his house. His family members, who noticed his sudden nerve spasms (similar to convulsions) and tightness in the neck, assumed it was another bout of fits as the boy was epileptic. They took him to a nearby government hospital as he was unable to swallow anything. His condition deteriorated as he was treated for only epilepsy initially. He was diagnosed with tetanus only after he was referred to the State run Epidemic Diseases Hospital on Old Madras Road.",Ramanagaram,"Old Madras Road, Ramanagaram"
540,A Valley of pain and sorrow,"A slice of Kashmir angst is on display at the ongoing Kochi Muziris Biennale. In what termed Srinagar Biennale, 14 artists belonging to Kashmiri Pandit community that was forced to flee the State and the Muslim community have come together to give expression to the region pain and sorrow. Artist Veer Munshi has curated the segment, part of the infra projects conceived by the biennale curator Anita Dube. Showcased at TKM Warehouse in Mattancherry, the central work of the project features a structure shaped like a Sufi dargah. Mr. Munshi said that the nurturing structure borrowed elements from Kashmiri architecture, reinforced by secular values.","Mattancherry, Kashmir","Mattancherry, Kashmir, Kochi, Srinagar, TKM Warehouse"
541,A motherly meet,"Come Friday evening, the tabletop tourist spot at Kottakkunnu here will witness a gathering of mothers for the sake of the differently abled. There will be mothers of special children as well who will share their experiences with others. The District Administration is organising the get together in association with the Rehabilitation Institute for Cognitively and Communicatively Challenged (RICCCH), a service oriented non profit organisation offering care and expertise for the differently abled. District Collector Amit Meena said here on Saturday that the gathering from 5 p.m. to 8 p.m. would be titled Amma Nilavu and will be an attempt to make May 11 the Special Mothers Day. May 13May 13 is International Mothers Day.",Kottakkunnu,Kottakkunnu
542,"Onshore casino operators in Goa seek cut in licence fee hike, live gaming","Panaji: The onshore casino operators in Goa have sought a reduction in the proposed hike of annual licence fee. They also want live gaming permits on par with offshore casino operators. At a press conference here on Friday, Kundan Shetye, partner with Grand 7 casino, also demanded that the state government set up a Gaming Commission at the earliest to streamline the casino industry in the state. We are not opposed to the hike per se, but it should be proportionate. A four to five fold increase in the existing fee structure, will kill the onshore casinos.",Panaji,"Goa, Panaji"
543,"Woman, accomplice held for stealing from MTC passenger","A woman with a child and her male accomplice were arrested on Thursday for stealing valuables from a passenger on an MTC bus. According to police, R. Vijaya, a flower merchant, was travelling in an bus from Poonamallee to Vadapalani. A 30 year old woman was sitting with a child in the seat next to her. At the Vadapalani bus stand, when the woman was about to get down, Vijaya noticed that the gold jewellery and cash in her handbag were missing and asked her to stop. But the woman and her male accomplice tried to walk away quickly.","Vadapalani, Poonamallee","Vadapalani, Poonamallee"
544,Veeranam lends a helping hand,"With the Veeranam tank reaching capacity, the city has started receiving 180 million litres per day (mld) for its drinking water needs. According to Metrowater officials, they withdrew 135 mld of water on Friday from the tank, located in Cuddalore district, about 225 km from the city. A 230 km long pipeline brings the water to the city. On Saturday, they stepped up the withdrawal to 180 mld, the maximum capacity, and it would continue till the onset of the northeast monsoon in mid October, officials said. With Veeranam lending a helping hand, Metrowater has reduced its offftake from Poondi, Chembarambakkam, Red Hills and Cholavaram lakes for the city water supply for now.",Cuddalore,"Chembarambakkam, Cholavaram, Red Hills, Cuddalore, Poondi, Veeranam"
545,Plea against panel disposed of,"A division bench of Justices M. Govindaraj and G. R. Swaminathan of the Madurai Bench of the Madras High Court on Wednesday refused to declare the Santhanam Commission probing the Madurai Kamaraj University audiotape scandal as null and void, while disposing of a public interest litigation petition. Activist S. Selvagomathi, in her petition, wanted the court to declare the Santhanam Commission as null and void and direct the MKU to look into the case and discharge its functions under the University Grants Commission (Prevention, Prohibition and Redressal of Sexual Harassment of Women Employees and Students in Higher Educational Institutions) Regulations, 2015. The petitioner sought the formation of a Local Complaints Committee under the Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013 to question Devanga Arts College, Aruppukottai, where the alleged audiotape incident took place. The UGC should initiate action against MKU in accordance with law, she said.",,"Aruppukottai, Madras, Madurai"
546,Delhi smog: NGT summons Chief Secretaries of 4 States over stubble burning,"Stating that State governments had failed to curb stubble burning, the National Green Tribunal (NGT) on Monday summoned the Chief Secretaries of Delhi, Punjab, Haryana and Uttar Pradesh. Officers have been directed to draw up a plan to execute the implementation of providing incentives to farmers. Observing that stubble burning is adversely affecting the environment and public health, a Bench headed by NGT Chairperson Justice Adarsh Kumar Goel said, It is a major problem in the state of Punjab and Haryana. NCT Delhi is certainly affected by it. The fact remains that the problem could not be fully tackled and the adverse impact on the air quality is affecting the citizen health and lives.","Haryana, Delhi, Punjab","Delhi, Haryana, Uttar Pradesh, Punjab, NCT Delhi"
547,Andhra Pradesh strikes gold in Chittoor district,"The A.P. government, apparently, is sitting on a gold mine all these days. The government recently found that Chigargunta and Bisanatham gold block in Chittoor district is likely to fetch 947 crore. After conducting many exploration studies, the Mines and Geology department has come to a conclusion that the Chigargunta and Bisanatham gold block will be profitable. The government recently auctioned the gold blocks wherein companies/groups, including NMDC, Vedanta, Adani, MSPL and Rengta participated.",Andhra Pradesh,"Andhra Pradesh, Chittoor, Chigargunta, Bisanatham"
548,Govt. staff must sport ID cards at work,"The Madras High Court on Monday made it mandatory for all government employees in the State as well as those working for local bodies and other government instrumentalities to wear their identity cards during working hours. The First Division Bench of Chief Justice Indira Banerjee and Justice P.T. Asha issued the direction on a suo motu public interest litigation petition, taken up on the basis of a letter from a resident of Erode. In the letter addressed to the Chief Justice, M. Valli Narayanan had sought the implementation of a 1986 Government Order which required government servants to sport their name badges during working hours.",Madras,"Erode, Madras"
549,CongressÃ¢ battle for Madhya Pradesh begins in Mandsaur,"Congress president Rahul Gandhi on Wednesday virtually launched his party campaign for the Assembly polls in Madhya Pradesh, scheduled for around November, by promising loan waiver to farmers within 10 days if the Congress is voted to power. To mark the first anniversary of the farmers protest at Mandsaur that killed six people in police firing, Mr. Gandhi addressed a Kisan Samriddhi Sankalp Farmer Prosperity Resolve rally at the Piplia Mandi ground in Mandsaur, where he accused the BJP governments across the country of being anti farmer. From this stage, I want to tell the farmers of Mandsaur and across the country. . .","Mandsaur, Madhya Pradesh","Mandsaur, Madhya Pradesh, Piplia Mandi"
550,Woman killed in Pakistan ceasefire violation at J&KÃ¢s Rajouri district,"A woman was killed on February 10 when Pakistan troops resorted to unprovoked firing from across the Line of Control (LoC) in the Rajouri district of Jammu and Kashmir, a police official said. Parveen Akhter was killed when she was hit by a bullet fired by Pakistani troops along the LoC in Pkukherni and Lairan villages of Noushera around 10.35 p.m. IST, he said. The official said Akhter was hit inside her home at Lairan village. Indian troops guarding the border retaliated to silence the Pakistani guns, he said, adding intermittent firings and shellings were going on when the last reports were received. Earlier in the day, Pakistani troops launched mortars shells at civilian areas along the LoC in nearby Poonch district but there was no loss of life or injury to any one.","Pkukherni, Lairan","Pakistan, Pkukherni, Rajouri, Lairan, Jammu and Kashmir, Noushera, Poonch, JK"
551,Case booked against Pawan,"Acting on a complaint filed by a member of the Telangana Union of Working Journalists against actor Pawan Kalyan and other persons over a video of actor Sri Reddy, the Banjara Hills police on Thursday registered a case against him. A case under Section 469 (forgery to harm reputation), 506 (criminal intimidation) and 504 (intent to provoke breach of peace) has been invoked against him, Banjara Hills police inspector K. Srinivas said. The complainant G. Rajesh claimed that Mr. Kalyan had allegedly shared a forged video clip purportedly carried by a regional language channel on social media which showed actor Sri Reddy using objectionable language against him. He said that the staff of the channel denied that they had broadcast any such video clip. He alleged that the channel has been receiving a barrage of calls from the actor fans who have been haranguing the staff.",,"Banjara Hills, Telangana"
552,New roadblock for Manipur varsity,"Tribal students bodies have given a highway blockade twist to the Manipur University crisis. Three organisations have threatened to impose a five day economic blockade on all national highways connecting State capital Imphal if the authorities concerned cannot let normal classes and other academic activities in Manipur University resume by October 8. Separate university These organisations have also demanded a separate Hill Central University to ensure that the tribal students have an alternative to the disruption prone university in the non tribal dominated Imphal Valley. The All Tribal Students Union, Manipur, the Kuki Students Organisation General Headquarters and the All Naga Students Association, Manipur, had on October 2 served a seven day ultimatum to the University authorities to resume classes. The decision to go for a highway blockade was taken at their meeting on Thursday.",Manipur,"Manipur, Imphal"
553,Centre for new Bench in Manipur case,"Some Army officers, supported fully by the Centre, on Friday urged a Supreme Court Bench of Justices Madan Lokur and U.U. Lalit to recuse itself from monitoring the CBI probe into alleged fake encounters in Manipur. They said certain oral remarks made by the Bench at an earlier hearing questioning the non arrest of accused persons had spooked Army personnel operating in Manipur. Appearing for the officers, senior advocate Mukul Rohatgi said there was a genuine apprehension in the minds of the soldiers. Their morale was affected by the reported comments of the court.",Manipur,Manipur
554,DMRC begins trial between Lajpat Nagar and Moti Bagh,"The Delhi Metro Rail Corporation (DMRC) on Tuesday began test runs on a section of Pink Line between Lajpat Nagar and Sir Vishweshwaraiah Moti Bagh stations. The 8.10 km stretch is a part of the upcoming 59 km long Majlis Park - Shiv Vihar line. DMRC Managing Director Mangu Singh flagged off the test run. This line will be an extension of the currently operational Majlis Park - Durgabai Deshmukh South Campus section of the Pink Line. During these trials, the interface of the Metro will be checked to ensure that there is no physical infringement with civil infrastructure during the train movement, the DMRC said, adding that it will also test the various subsystems of the coaches.",Lajpat Nagar,"Shiv Vihar, Moti Bagh, Lajpat Nagar, Delhi, Sir Vishweshwaraiah Moti Bagh, Majlis Park, Durgabai Deshmukh South Campus"
555,"Engineer chases snatchers, gets shot in the stomach","A 42 year old engineer was allegedly shot in the stomach by two bike borne men who had snatched his wife gold chain in central Delhi Rajinder Nagar on Tuesday night, the police said on Wednesday. The incident happened outside B.L. Kapur Hospital, where victim Ashok Kumar wife Keerti works as a medical coordinator. Mr. Kumar works with a private firm in Gurugram. A hospital staff member said, Mr. Kumar is critical but stable and is currently in the ICU.","Gurugram, Delhi","Gurugram, Delhi, Rajinder Nagar"
556,Ottanthullal artiste Geethanandan dead,"Acclaimed Ottanthullal artiste Kalamandalam Geethanandan died during a performance at Avittathur, near Irinjalakuda, on Sunday evening. He was 58. The end of the artiste, who had performed on more than 5,000 stages in India and abroad, came during a stage performance at Mahadeva Temple, Avittathur. He was a teacher of Ottanthullal at Kerala Kalalamandalam for more than a quarter century. He collapsed on the stage during the performance.",Irinjalakuda,"India, Avittathur, Kerala, Irinjalakuda, Mahadeva Temple"
557,Delhi HC extends interim protection to Chidambaram,"The Delhi High Court on Tuesday extended interim protection from arrest granted to former Union Minister P. Chidambaram in the INX Media case till August 1. Justice A. K. Pathak directed the Central Bureau of Investigation (CBI), which is probinf the case, not to take any coercive action against Mr. Chidambaram till August 1, the next date fixed for hearing. The agency has sought time to submit its response on Mr Chidambaram's anticipatory bail plea. Mr Chidambaram was given a similar relief by the high court on May 31 in the case. The high court had, however, told Mr Chidambaram to cooperate in the investigation as and when called by CBI.",Delhi,Delhi
558,Bharathidasan University operationalises web app,"Bharathidasan University has operationalised its version of Digital India initiative BDU Mobile and Web App by creating user names and passwords for 180 faculty members and about 1,200 students of 39 departments. The app was launched on on October 31 by Vice Chancellor P. Manisankar. Developed under a memorandum of understanding between the varsity and Ulketz Learning Solutions, the app has enabled students access to course materials in the forms of e books, conceptual videos and exam centric study material and improve learning outcomes. Its effectiveness can be improved through flipped classroom pedagogy, G. Parthasarathy, Director, University Informatics Centre, said. Students can download books, power point files, videos and other documents with file sizes above one MB from NPTEL (National Programme on Technology Enhanced Learning, which is an initiative by seven IITs), NDL (National Digital Library of India) and other open sources, Mr. Parthasarathy said.",,India
559,CRPF man on Raj Bhavan duty among robbery suspects,"A Central Reserve Police Force (CRPF) policeman, Kumar, posted at Raj Bhavan in Chennai, an Armed Reserve Police constable of Tirupur, N. Saravanan, and a dismissed police constable from Tiruchi, Radhakrishnan, are among the suspects in a daring robbery in which around 70 lakh was looted from the residence of a doctor at Melur near here recently. While the 10 accused, including Radhakrishnan, have been arrested, Madurai district police are on the lookout for other suspects. A total of 26 persons of three gangs were involved in the robbery. The CRPF man had given his pistol, bought in the black market, for the robbery. The AR policeman had come to the scene of crime the previous day for a recce, the Superintendent of Police, N. Manivannan, told The Hindu based on the statements from the accused.","Tirupur, Chennai","Melur, Raj Bhavan, Tirupur, Madurai, Chennai, Tiruchi"
560,Court seeks report on appointment of law officers,"The Madurai Bench of the Madras High Court on Monday passed an interim injunction on law officers (criminal side) appointed in violation of Rules 4 and 5 of the Law Officers of High Court of Madras and its Bench at Madurai (Appointment) Rules, 2017. A division bench of Justices N. Kirubakaran and R. Tharani, hearing a petition seeking a stay of the Government Order on the appointment of Government Law Officers, directed the State government as well as the Registrar General, Madras High Court, to file individual reports on the eligibility and experience of the appointed advocates. The petitioner, Advocate A. Kannan, complained that for at least four decades, advocates with allegiance to the ruling party were appointed as law officers, without ascertaining their capability. Mr. Kannan contended that equal opportunity was not provided for advocates to apply and the current appointments did not satisfy Rule 4 (Eligibility) and Rule 5 (Method of Appointment) of the 2017 Rules. He claimed that some of the law officers appointed did not have the minimum prescribed years of practice and disciplinary proceedings were pending against some of them.",,"Madurai, Madras"
561,AI flight from Goa gets stuck on runway,"Flight operations at the Mumbai international airport in Andheri had to be shifted to the secondary runway on Monday after an Air India flight from Goa remained stuck on the main runway following a hydraulic failure. The flight, AI 662, had declared an emergency at 8.36 p.m. An airport spokesperson said, The aircraft landed safely at 9.18 p.m. The main runway was shut till 9.40 p.m. when it was handed over for operations. At 10.30 p.m. , the airport reported a 32 minute delay in arrivals.","Goa, Andheri, Mumbai","Goa, Andheri, Mumbai"
562,Coming home to celebrate birthday,"The heritage village of Aranmula is all set to celebrate the 84th birthday of its famous native G. Sugathakumari, whose role as an environmentalist has received much attention and whose poetry has made a mark in the literary milieu of the State. Come Wednesday, Sugathakumari celebrates her birth star Aswathi that falls in the Malayalam month of Makarom. Ms. Sugathakumari will be reaching her ancestral home of Vazhuvelil Tharavadu, located close to the famous Sree Parthasarathy temple at Aranmula, on Wednesday morning. In her own words, she will be at the village to be in the lap of Mother Nature, once again. The poet, who was one of those who successfully steered an all party non violent popular movement to protect the puncha (paddy lands), sacred groves, and the Pampa from corporate invasion, is known for her commitment to protect the nature.","Vazhuvelil Tharavadu, Aranmula","Vazhuvelil Tharavadu, Aranmula, Sree Parthasarathy temple, Pampa"
563,Bhavanipet declared ODF,"The Collector N. Satyanarayana on Wednesday declared Bhavanipet in Lingampet mandal as an Open Defecation Free (ODF) village and appreciated the residents for the achievement. Addressing a public meeting at the village, he said that 1.14 lakh toilets were built across the district and only 16,800 were left incomplete. After the completion of these remaining toilets, the district would be declared as total ODF, he said, and disclosed that as many as 218 villages had become ODF as of now. Earlier villagers took out an honour rally in which the Collector and other officials participated. The Collector said, as per the World Health Organisation reports, children and women were most affected by ODF.",,"Bhavanipet, Lingampet mandal, Lingampet"
564,Sreejith case: Magistrate deposes against SI,"The basic character of G.S. Deepak, the suspended Sub inspector of Police of Varapuzha and an accused in the custodial death of Sreejith, was to physically harass accused persons and create constant problems, according to a statement given by Smitha M. , former North Paravur Judicial First Class Magistrate before the High Court. She had alleged in her statement that there was an occasion when he had arrested an accused against the High Court directive. In another case, he had produced an accused with physical injuries despite her directive not to physically harass the accused when the accused was handed over to him. He used to ignore her directives not to physically harass any accused.",Varapuzha,"Varapuzha, North Paravur, Njarackal "
565,"HC seeks response of Centre, State, and CBI","The Kerala High Court on Thursday sought the response of the Union and State governments and the Central Bureau of Investigation (CBI) to a CBI probe plea by mothers of four youths jailed in Doha on charge of drug smuggling into the activities of the agents who had arranged them visas. The petition was filed by the mothers of Ashik Ashly, 22, from Angamaly, Kevin Mathew, 26, from Kottayam, Adithya Mohanan, 21, from Alappuzha and Sarath Sasi, 24, from Ernakulam. The petitioners pointed out that their sons were in the Duhail jail in Doha on charges of transporting narcotic products. Their visas had been arranged by Sahni, Rafees, Rashid, and Jayesh. These agents had struck a cordial relationship with these youths.",Kerala,"Kerala, Kottayam, Doha, Angamaly, Alappuzha, Ernakulam"
566,"Labourer kills wife, attempts suicide","A daily wage labourer allegedly killed his wife before consuming poison near the Sri Venkateswara Swamy temple in Nelakondapalli town late on Tuesday evening. He is said to be critical. Sources said M Gangadhar (25), a resident of Guvvalagudem, strangulated Naveena (20) to death with her dupatta following a tiff over a prolonged family dispute at a secluded spot near the temple. Soon after, he consumed pesticide and collapsed on the roadside, added sources. The couple has two sons.",Nelakondapalli,"Nelakondapalli, Guvvalagudem, Sri Venkateswara Swamy temple"
567,BJP threatens stir if HDK Ã¢backtracksÃ¢ on farm loan waiver promise,"H.D. Kumaraswamy seems to be facing his first big challenge even before taking oath as the Chief Minister implementing the poll promise of complete farm loan waiver within 24 hours of coming to power. On the eve of his swearing in ceremony, Mr. Kumaraswamy was non committal on the promise, saying a decision can be taken only after deliberations with the coalition partner Congress. The BJP has already begun capitalising on the issue by threatening a State wide agitation if Mr. Kumaraswamy backtracks on the promise. Speaking to mediapersons in Sringeri on Tuesday, he said he had told the people that he would waive farm loans if he was given absolute majority.",,Sringeri
568,CM orders probe into Vidhan Bhavan flooding,"The Maharashtra government has ordered an inquiry into the flooding of Vidhan Bhavan here after heavy rains last week. The inquiry would ascertain loopholes in arrangements for the monsoon session and if problems were deliberately left unattended, Chief Minister Devendra Fadnavis said in the Legislative Assembly here on Monday. The people affected due to heavy rains in the city would also be compensated, he said. The city is hosting the monsoon session of the State Legislature but on Friday both the Assembly and the Council were adjourned for the day, shortly after convening, due to a power blackout caused by rains. An inquiry will be done to find out whether there was a deliberate attempt not to fix loopholes, if any, and whether steps were taken to prevent flooding in the Vidhan Bhavan premises, he said.",Maharashtra,"Maharashtra, Vidhan Bhavan"
569,Nod to place amendments to Haryana Police Act,"The Haryana Cabinet on Friday approved a proposal to place amendments to the Haryana Police Act, 2007, for consideration and deliberation in the State Assembly. The decision was taken at a meeting held here under the chairmanship of Chief Minister Manohar Lal Khattar. The amendments are related to selection of Director General of Police and procedures related to removal of the DGP. A committee is proposed to be constituted under the Chief Secretary with the Additional Chief Secretary (Home) and Director General of Police, Haryana, as its members and Special Secretary (Home) as its Member Secretary, said an official statement. The Cabinet also decided to constitute the State Social Security Board for the socio economic development of unorganised workers in the State, which would be constituted under the Unorganised Workers Social Security Act, 2008.",Haryana,Haryana
570,Nine hurt after vehicle rams into pedestrians,"Mumbai: Nine people, including a woman, were injured after a 26 year old taxi driver lost control of his vehicle due to an suspected epileptic attack and rammed into pedestrians at the J.J. Hospital junction in Byculla on Wednesday night. All the injured and the driver, Rizwan Khan, were taken to J.J. Hospital. A casualty medical officer said one of them has a severe injury to his head. At the time of going to press, all the patients were undergoing medical evaluation. The doctor said the driver lost consciousness for a while and was vomiting continuously.",Mumbai,"Byculla, Mumbai"
571,Man who cheated people after befriending them online held,"Mumbai: A fraudster who would allegedly get in touch with people online, take expensive gadgets like cameras and laptops on rent, and sell them to third parties before changing his number and location, has been arrested. The accused has a number of cases registered against him in Thane and Pune. According to the Thane Nagar police, inquiries were initiated in August after Thane resident Vishal Sanap registered a complaint. Mr. Sanap said he had been contacted by the accused, identified as Mahesh Bhogle (36), on Facebook, and after initial conversation, Mr. Bhogle allegedly told Mr. Sanap that he needed a professional camera on rent. As Mr. Sanap owned a professional camera, he agreed to give it to Mr. Bhogle on rent.","Thane, Mumbai, Pune","Thane, Mumbai, Pune"
572,Automatic water dispensers to be set up at 30 places in city,"Clean, ready to drink water will soon be available to the city residents at 30 places in the city. Facilitating the arrangement is Coimbatore Corporation, which has tied up with Kerala based Dharana Infrastructure Projects Private Limited. The objective behind the project is to provide potable water to the city residents and for the Corporation it comes at no cost because all that it has to do is provide access to the company to sink bore well and a place for dispensing water, says Corporation Commissioner K. Vijayakarthikeyan. The company will invest in the project, share a small sum with the civic body and operate and maintain the plant out of the money it will make by selling water. In the process, the Corporation will determine the price of water and the quality at which the company supplies, says City Engineer A. Lakshmanan.",Kerala,"Kerala, Coimbatore"
573,"Family members, supporters bid Gurudas Kamat adieu","Veteran Congress leader Gurudas Kamat was cremated with full state honours in Chembur in the presence of State and national leaders and close supporters on Thursday. The crematorium at Diamond Garden, incidentally, was recently refurbished with development funds provided by the Congress leader himself. Kamat body arrived for the final rites wrapped in the Tricolour on a flower bedecked vehicle. Among the dignitaries present to pay their respects were Chief Minister Devendra Fadnavis, State Cabinet ministers, Congress leader Mallikarjun Kharge, and 25 party functionaries from all over the country. Close supporters and several corporators took the lead in making the arrangements.",Chembur,"Chembur, Diamond Garden"
574,On-duty cop found dead inside Secretariat parking,"A 35 year old on duty head constable was found dead in the VVIP parking lot at the Delhi Secretariat on Friday morning. Stating that they found a note addressed to the Delhi Police Commissioner, the police said he was upset over being beaten in public by his in laws a day earlier. The police control room received a call regarding Friday incident at 5.53 a.m. The caller told the police that the policeman had shot himself in the head with his service pistol. The victim nephew claimed his uncle had reported the thrashing to the Khajuri Khas police station SHO but was asked to resolve the issue instead.",Delhi,"Delhi, Delhi Secretariat, Khajuri Khas"
575,Indian startups make a beeline for funding at RISE,"From tattooing to dress rentals to security solutions, there is an astounding variety of Indian startup dreams searching for funding at RISE 2018, Asia largest tech event currently on in this bustling Asian business capital. By a rough count, as many as 200 Indian start ups in alpha, beta and growth stages are at the ongoing event to secure funds either for kick starting their entrepreneurial dreams or expanding their businesses. We have had discussions with three strategic partners from the U.S. , Philippines and India for funding our user generated content marketing platform, which we have named UtterNow. We are looking at 1 million for launching our app on October 2, Abhinit Gogia, chief executive officer, UtterNow, told The Hindu. Mr. Gogia has joined hands with three other customer service colleagues of his at a Dubai based bank Rahman Ghani, Rizwan M. Basha and Bikram Pal Singh to launch UtterNow.",India,"Philippines, Dubai, India, U.S. , Asia "
576,SAD to take on Punjab govt.," Shiromani Akali Dal president Sukhbir Singh Badal on Wednesday said the party would start its struggle against the ruling Congress government for allegedly distorting history related to the Sikh faith and Sikh gurus by misrepresenting facts in the Class XII history book of the Punjab School Education Board. We would start the struggle to force Punjab Chief Minister Amarinder Singh and the Congress government in the State to apologise to the'Khalsa Panth for repeatedly and deliberately insulting the Sikh Guru Sahiban, he said. Mr. Badal said a 48 hour long protest dharna would commence in Amritsar on November 1. I will sit for the first 24 hours and then the SGPC Shiromani Gurdwara Parbandhak Committee chief Jathedar Gobind Singh Longowal will sit for the next 24 hours, said Mr. Badal.",Punjab,"Amritsar, Punjab"
577,No sustainable development without women,"With women having to bear the burden of unsustainable development, there is an imminent need to have more women in science in search of solutions, said Rajeswari S. Raina, professor at Shiv Nadar University School of Humanities and Social Sciences, who was awarded the 15th annual TN Khoshoo Memorial Award on Monday. Given the risks, uncertainty and ignorance that confronts sustainability, more women are needed in science, she said. We need science that makes sense together and not just science that speaks truth to power, she said. Ashoka Trust for Research and Ecology and the Environment, a non profit research organisation, presented the award to Dr. Raina for her holistic and interdisciplinary approach towards agricultural research, particularly in understanding the consequences of the green revolution and its lasting damage on agriculture. This year theme for the talks, which is held in memory of one of India foremost environmental scientists Triloki Nath Khoshoo, revolved around women and sustainable development.",India,India
578,Nuns rebut Missionaries of Jesus probe report,"A day after the Save Our Sisters (SOS) Action Council announced its decision to expand its ongoing protest by five Catholic nuns at High Court Junction demanding justice for a nun allegedly raped by Jalandhar bishop Franco Mulakkal to the rest of the State from Monday, the Jalandhar based Missionaries of Jesus (MJ) congregation has come out with its preliminary inquiry commission report in the case that effectively absolved the bishop of the charge while casting aspersions on the integrity of the victim and the nuns supporting her. The report featuring six findings dubbed the stir a conspiracy against the bishop. However, sister Anupama, one of the protesting nuns, gave a point to point rebuttal to the finding. The report said the five nuns protesting in support of the victim had made an unauthorised return to the Kuravilangad convent after being transferred to other convents following an official transfer made by the Church. They had conspired with four outsiders.",Jalandhar,"Jalandhar, Kuravilangad"
579,Khadi products worth Ã¢Â¹100 cr to be sold,"The government plans to sell Khadi products worth 100 crore this year through the changes proposed in the Khadi sector, said Industries Minister A.C. Moideen. The Minister was speaking after inaugurating the renovated Hantex emporium at Boat Jetty. The government proposes to extend the free school uniform project to students up to Class 4 of aided schools, he said. Hibi Eden, MLA, presided over the function. Mayor Soumini Jain, K.V.",,"Boat Jetty, Kochi"
580,CUK seeks to emerge as edu hub,"The Central University of Kerala (CUK) will set to script a major milestone nine years after its inception, with the rolling out of its activities entirely from its campus here from next academic session. Vice President M. Venkaiah Naidu will dedicate the university eight new academic building blocks at a function at 11 a.m. on April 29. The institution has laid out a clear roadmap for its future expansion, envisaged to be executed by 2022, to turn the region into a leading educational hub. Off campusesSituated close to National Highway 66, which will soon be turned into a 45 metre wide four lane stretch, the Tejaswini Hills campus, will now accommodate all the three off campuses housed in rented buildings at Vidyanagar, Padannakkad, near Neeleswaram, and at Kuniya. Work on the new building blocks, costing 210 crore, was formally inaugurated in September 2015 by Union Minister D.V.","Padannakkad, Kuniya, Vidyanagar, Neeleswaram, Kerala","Padannakkad, Kuniya, Vidyanagar, Neeleswaram, Kerala, National Highway 66, Tejaswini Hills"
